date time yearday tempc flag
2012-02-21 00:10:00.00Z 51.00694444 10.20 00000
2012-02-21 00:12:00.00Z 51.00833333 9.88 00000
2012-02-21 00:14:00.00Z 51.00972222 9.58 00000
2012-02-21 00:16:00.00Z 51.01111111 9.41 00000
2012-02-21 00:18:00.00Z 51.01250000 9.31 00000
2012-02-21 00:20:00.00Z 51.01388889 9.26 00000
2012-02-21 00:22:00.00Z 51.01527778 9.21 00000
2012-02-21 00:24:00.00Z 51.01666667 9.19 00000
2012-02-21 00:26:00.00Z 51.01805556 9.16 00000
2012-02-21 00:28:00.00Z 51.01944444 9.14 00000
2012-02-21 00:30:00.00Z 51.02083333 9.14 00000
2012-02-21 00:32:00.00Z 51.02222222 9.11 00000
2012-02-21 00:34:00.00Z 51.02361111 9.11 00000
2012-02-21 00:36:00.00Z 51.02500000 9.09 00000
2012-02-21 00:38:00.00Z 51.02638889 9.09 00000
2012-02-21 00:40:00.00Z 51.02777778 9.09 00000
2012-02-21 00:42:00.00Z 51.02916667 9.09 00000
2012-02-21 00:44:00.00Z 51.03055556 9.06 00000
2012-02-21 00:46:00.00Z 51.03194444 9.06 00000
2012-02-21 00:48:00.00Z 51.03333333 9.06 00000
2012-02-21 00:50:00.00Z 51.03472222 9.06 00000
2012-02-21 00:52:00.00Z 51.03611111 9.06 00000
2012-02-21 00:54:00.00Z 51.03750000 9.06 00000
2012-02-21 00:56:00.00Z 51.03888889 9.06 00000
2012-02-21 00:58:00.00Z 51.04027778 9.04 00000
2012-02-21 01:00:00.00Z 51.04166667 9.04 00000
2012-02-21 01:02:00.00Z 51.04305556 9.04 00000
2012-02-21 01:04:00.00Z 51.04444444 9.04 00000
2012-02-21 01:06:00.00Z 51.04583333 9.04 00000
2012-02-21 01:08:00.00Z 51.04722222 9.04 00000
2012-02-21 01:10:00.00Z 51.04861111 9.04 00000
2012-02-21 01:12:00.00Z 51.05000000 9.04 00000
2012-02-21 01:14:00.00Z 51.05138889 9.02 00000
2012-02-21 01:16:00.00Z 51.05277778 9.02 00000
2012-02-21 01:18:00.00Z 51.05416667 9.02 00000
2012-02-21 01:20:00.00Z 51.05555556 9.02 00000
2012-02-21 01:22:00.00Z 51.05694444 9.02 00000
2012-02-21 01:24:00.00Z 51.05833333 9.02 00000
2012-02-21 01:26:00.00Z 51.05972222 9.02 00000
2012-02-21 01:28:00.00Z 51.06111111 9.02 00000
2012-02-21 01:30:00.00Z 51.06250000 9.02 00000
2012-02-21 01:32:00.00Z 51.06388889 9.02 00000
2012-02-21 01:34:00.00Z 51.06527778 9.02 00000
2012-02-21 01:36:00.00Z 51.06666667 9.02 00000
2012-02-21 01:38:00.00Z 51.06805556 9.02 00000
2012-02-21 01:40:00.00Z 51.06944444 9.02 00000
2012-02-21 01:42:00.00Z 51.07083333 9.02 00000
2012-02-21 01:44:00.00Z 51.07222222 9.02 00000
2012-02-21 01:46:00.00Z 51.07361111 9.02 00000
2012-02-21 01:48:00.00Z 51.07500000 8.99 00000
2012-02-21 01:50:00.00Z 51.07638889 8.99 00000
2012-02-21 01:52:00.00Z 51.07777778 8.99 00000
2012-02-21 01:54:00.00Z 51.07916667 8.99 00000
2012-02-21 01:56:00.00Z 51.08055556 8.99 00000
2012-02-21 01:58:00.00Z 51.08194444 8.99 00000
2012-02-21 02:00:00.00Z 51.08333333 8.99 00000
2012-02-21 02:02:00.00Z 51.08472222 8.99 00000
2012-02-21 02:04:00.00Z 51.08611111 8.99 00000
2012-02-21 02:06:00.00Z 51.08750000 8.99 00000
2012-02-21 02:08:00.00Z 51.08888889 8.99 00000
2012-02-21 02:10:00.00Z 51.09027778 8.99 00000
2012-02-21 02:12:00.00Z 51.09166667 8.99 00000
2012-02-21 02:14:00.00Z 51.09305556 8.99 00000
2012-02-21 02:16:00.00Z 51.09444444 8.99 00000
2012-02-21 02:18:00.00Z 51.09583333 8.99 00000
2012-02-21 02:20:00.00Z 51.09722222 8.99 00000
2012-02-21 02:22:00.00Z 51.09861111 8.99 00000
2012-02-21 02:24:00.00Z 51.10000000 8.99 00000
2012-02-21 02:26:00.00Z 51.10138889 9.02 00000
2012-02-21 02:28:00.00Z 51.10277778 9.02 00000
2012-02-21 02:30:00.00Z 51.10416667 9.02 00000
2012-02-21 02:32:00.00Z 51.10555556 9.02 00000
2012-02-21 02:34:00.00Z 51.10694444 9.02 00000
2012-02-21 02:36:00.00Z 51.10833333 9.02 00000
2012-02-21 02:38:00.00Z 51.10972222 9.02 00000
2012-02-21 02:40:00.00Z 51.11111111 9.02 00000
2012-02-21 02:42:00.00Z 51.11250000 9.04 00000
2012-02-21 02:44:00.00Z 51.11388889 9.04 00000
2012-02-21 02:46:00.00Z 51.11527778 9.04 00000
2012-02-21 02:48:00.00Z 51.11666667 9.06 00000
2012-02-21 02:50:00.00Z 51.11805556 9.06 00000
2012-02-21 02:52:00.00Z 51.11944444 9.06 00000
2012-02-21 02:54:00.00Z 51.12083333 9.09 00000
2012-02-21 02:56:00.00Z 51.12222222 9.09 00000
2012-02-21 02:58:00.00Z 51.12361111 9.09 00000
2012-02-21 03:00:00.00Z 51.12500000 9.09 00000
2012-02-21 03:02:00.00Z 51.12638889 9.09 00000
2012-02-21 03:04:00.00Z 51.12777778 9.09 00000
2012-02-21 03:06:00.00Z 51.12916667 9.09 00000
2012-02-21 03:08:00.00Z 51.13055556 9.09 00000
2012-02-21 03:10:00.00Z 51.13194444 9.11 00000
2012-02-21 03:12:00.00Z 51.13333333 9.11 00000
2012-02-21 03:14:00.00Z 51.13472222 9.11 00000
2012-02-21 03:16:00.00Z 51.13611111 9.11 00000
2012-02-21 03:18:00.00Z 51.13750000 9.11 00000
2012-02-21 03:20:00.00Z 51.13888889 9.09 00000
2012-02-21 03:22:00.00Z 51.14027778 9.11 00000
2012-02-21 03:24:00.00Z 51.14166667 9.11 00000
2012-02-21 03:26:00.00Z 51.14305556 9.11 00000
